Update 113/488, T 233472, FPS 174, 50-training-episode: mean/median 38.5/96.0, min/max -63.9/104.9
Update 114/488, T 235520, FPS 174, 50-training-episode: mean/median 6.9/-47.6, min/max -71.1/103.1
Update 115/488, T 237568, FPS 174, 50-training-episode: mean/median 14.5/-47.8, min/max -71.1/107.9
Update 116/488, T 239616, FPS 174, 50-training-episode: mean/median 19.3/16.3, min/max -70.1/107.9
Update 117/488, T 241664, FPS 174, 50-training-episode: mean/median 25.5/86.8, min/max -68.9/106.1
Update 118/488, T 243712, FPS 174, 50-training-episode: mean/median 12.0/-49.5, min/max -63.7/104.6
Update 119/488, T 245760, FPS 174, 50-training-episode: mean/median 13.6/-48.9, min/max -63.7/105.9
Update 120/488, T 247808, FPS 174, 50-training-episode: mean/median 29.2/86.2, min/max -65.2/105.9
Update 121/488, T 249856, FPS 174, 50-training-episode: mean/median 33.4/87.6, min/max -65.2/107.1
Update 122/488, T 251904, FPS 174, 50-training-episode: mean/median 27.4/81.4, min/max -61.3/107.1
Update 123/488, T 253952, FPS 174, 50-training-episode: mean/median 24.0/80.5, min/max -63.1/104.6
Update 124/488, T 256000, FPS 174, 50-training-episode: mean/median 21.8/25.4, min/max -74.3/101.7
Update 125/488, T 258048, FPS 174, 50-training-episode: mean/median 43.1/93.9, min/max -74.3/103.4
Update 126/488, T 260096, FPS 174, 50-training-episode: mean/median 37.8/90.8, min/max -71.2/105.2
Update 127/488, T 262144, FPS 174, 50-training-episode: mean/median 37.6/89.4, min/max -71.2/109.6
Update 128/488, T 264192, FPS 174, 50-training-episode: mean/median 36.6/89.4, min/max -73.2/109.6
Update 129/488, T 266240, FPS 174, 50-training-episode: mean/median 25.8/72.4, min/max -77.8/108.9
Update 130/488, T 268288, FPS 174, 50-training-episode: mean/median 36.1/90.5, min/max -91.6/108.9
Update 131/488, T 270336, FPS 174, 50-training-episode: mean/median 18.3/77.6, min/max -91.6/107.5
Update 132/488, T 272384, FPS 174, 50-training-episode: mean/median 10.3/-47.5, min/max -94.2/105.9
Update 133/488, T 274432, FPS 174, 50-training-episode: mean/median 1.8/-50.4, min/max -94.8/104.9
Update 134/488, T 276480, FPS 174, 50-training-episode: mean/median -2.5/-56.1, min/max -98.4/105.2
Update 135/488, T 278528, FPS 174, 50-training-episode: mean/median 11.5/15.5, min/max -98.4/105.2
Update 136/488, T 280576, FPS 174, 50-training-episode: mean/median 27.0/89.8, min/max -98.4/107.8
Update 137/488, T 282624, FPS 174, 50-training-episode: mean/median 15.0/22.0, min/max -98.1/107.8
Update 138/488, T 284672, FPS 175, 50-training-episode: mean/median 0.7/-52.2, min/max -98.1/107.8
Update 139/488, T 286720, FPS 175, 50-training-episode: mean/median -4.2/-52.0, min/max -98.1/104.5
Update 140/488, T 288768, FPS 175, 50-training-episode: mean/median -11.5/-53.6, min/max -94.1/104.8
Update 141/488, T 290816, FPS 175, 50-training-episode: mean/median -10.8/-55.1, min/max -95.7/104.8
Update 142/488, T 292864, FPS 175, 50-training-episode: mean/median -24.2/-57.5, min/max -95.7/104.8
Update 143/488, T 294912, FPS 175, 50-training-episode: mean/median -24.2/-64.1, min/max -95.8/104.8
Update 144/488, T 296960, FPS 175, 50-training-episode: mean/median -19.2/-64.8, min/max -97.8/104.8
Update 145/488, T 299008, FPS 175, 50-training-episode: mean/median -1.5/-56.4, min/max -102.2/103.0
Update 146/488, T 301056, FPS 175, 50-training-episode: mean/median 13.0/78.2, min/max -102.2/102.8
Update 147/488, T 303104, FPS 175, 50-training-episode: mean/median 31.5/88.9, min/max -102.2/103.4
Update 148/488, T 305152, FPS 176, 50-training-episode: mean/median 11.9/15.0, min/max -99.6/103.4
Update 149/488, T 307200, FPS 176, 50-training-episode: mean/median 12.3/-43.1, min/max -99.6/101.8
Update 150/488, T 309248, FPS 176, 50-training-episode: mean/median 18.9/-34.9, min/max -68.2/104.8
Update 151/488, T 311296, FPS 176, 50-training-episode: mean/median 8.9/-44.1, min/max -68.4/104.8
Update 152/488, T 313344, FPS 176, 50-training-episode: mean/median 11.4/-45.7, min/max -68.4/108.2
Update 153/488, T 315392, FPS 176, 50-training-episode: mean/median 9.3/-46.6, min/max -69.7/108.2
Update 154/488, T 317440, FPS 176, 50-training-episode: mean/median 13.9/-36.2, min/max -72.3/106.6
Update 155/488, T 319488, FPS 176, 50-training-episode: mean/median 27.1/89.0, min/max -72.3/104.2
Update 156/488, T 321536, FPS 176, 50-training-episode: mean/median 19.4/-37.8, min/max -64.1/104.2
Update 157/488, T 323584, FPS 176, 50-training-episode: mean/median 11.6/-42.3, min/max -75.3/104.2
Update 158/488, T 325632, FPS 176, 50-training-episode: mean/median 9.5/-42.5, min/max -75.9/104.3
Update 159/488, T 327680, FPS 176, 50-training-episode: mean/median 25.8/87.6, min/max -75.9/104.6
Update 160/488, T 329728, FPS 176, 50-training-episode: mean/median 29.6/89.9, min/max -67.3/106.1
Update 161/488, T 331776, FPS 176, 50-training-episode: mean/median 25.1/85.6, min/max -67.3/106.1
Update 162/488, T 333824, FPS 177, 50-training-episode: mean/median 13.2/-41.5, min/max -68.2/106.2
Update 163/488, T 335872, FPS 177, 50-training-episode: mean/median 9.8/-42.1, min/max -81.1/106.2
Update 164/488, T 337920, FPS 177, 50-training-episode: mean/median -1.2/-44.9, min/max -81.1/106.2
Update 165/488, T 339968, FPS 177, 50-training-episode: mean/median 2.4/-46.5, min/max -81.1/106.1
Update 166/488, T 342016, FPS 177, 50-training-episode: mean/median 1.7/-46.5, min/max -88.9/106.6
Update 167/488, T 344064, FPS 177, 50-training-episode: mean/median 1.1/-48.0, min/max -88.9/106.6
Update 168/488, T 346112, FPS 177, 50-training-episode: mean/median 8.5/-41.9, min/max -88.9/106.6
Update 169/488, T 348160, FPS 177, 50-training-episode: mean/median 13.9/-41.8, min/max -83.8/106.2
Update 170/488, T 350208, FPS 177, 50-training-episode: mean/median 4.3/-44.0, min/max -88.8/103.1
Update 171/488, T 352256, FPS 177, 50-training-episode: mean/median 3.8/-49.2, min/max -88.8/107.6
Update 172/488, T 354304, FPS 177, 50-training-episode: mean/median -4.0/-52.6, min/max -105.2/107.6
Update 173/488, T 356352, FPS 177, 50-training-episode: mean/median 2.2/-50.6, min/max -105.2/107.6
Update 174/488, T 358400, FPS 177, 50-training-episode: mean/median 13.0/-40.2, min/max -105.2/106.7
Update 175/488, T 360448, FPS 177, 50-training-episode: mean/median 16.8/20.6, min/max -100.2/107.5
Update 176/488, T 362496, FPS 178, 50-training-episode: mean/median 9.6/-41.3, min/max -100.2/107.5
Update 177/488, T 364544, FPS 178, 50-training-episode: mean/median 20.9/88.7, min/max -100.2/107.5
Update 178/488, T 366592, FPS 178, 50-training-episode: mean/median 14.4/22.1, min/max -89.9/106.1
Update 179/488, T 368640, FPS 178, 50-training-episode: mean/median 7.6/-40.1, min/max -110.6/106.1
Update 180/488, T 370688, FPS 178, 50-training-episode: mean/median 6.4/-40.1, min/max -110.6/106.1
Update 181/488, T 372736, FPS 178, 50-training-episode: mean/median -11.8/-59.7, min/max -110.6/104.1
Update 182/488, T 374784, FPS 178, 50-training-episode: mean/median -6.8/-62.5, min/max -110.6/104.1
Update 183/488, T 376832, FPS 178, 50-training-episode: mean/median 5.7/-56.8, min/max -99.8/108.1
Update 184/488, T 378880, FPS 178, 50-training-episode: mean/median -5.4/-70.5, min/max -99.8/108.1
Update 185/488, T 380928, FPS 178, 50-training-episode: mean/median 3.4/-62.8, min/max -98.1/108.1
Update 186/488, T 382976, FPS 179, 50-training-episode: mean/median 14.6/83.0, min/max -98.1/108.1
Update 187/488, T 385024, FPS 179, 50-training-episode: mean/median 26.4/87.9, min/max -87.0/106.6
Update 188/488, T 387072, FPS 179, 50-training-episode: mean/median 31.9/87.7, min/max -91.7/106.7
Update 189/488, T 389120, FPS 179, 50-training-episode: mean/median 36.4/83.6, min/max -91.7/106.7
Update 190/488, T 391168, FPS 179, 50-training-episode: mean/median 19.9/74.1, min/max -92.5/106.7
Update 191/488, T 393216, FPS 179, 50-training-episode: mean/median 14.3/14.3, min/max -92.5/107.1
Update 192/488, T 395264, FPS 179, 50-training-episode: mean/median 6.3/-45.0, min/max -92.5/107.1
Update 193/488, T 397312, FPS 179, 50-training-episode: mean/median 17.2/17.0, min/max -83.2/107.1
Update 194/488, T 399360, FPS 179, 50-training-episode: mean/median -1.4/-46.0, min/max -83.2/106.3
Update 195/488, T 401408, FPS 179, 50-training-episode: mean/median 8.2/-44.7, min/max -77.2/106.3
Update 196/488, T 403456, FPS 179, 50-training-episode: mean/median 4.5/-51.3, min/max -94.2/105.0
Update 197/488, T 405504, FPS 179, 50-training-episode: mean/median 34.2/94.8, min/max -94.2/107.3
Update 198/488, T 407552, FPS 179, 50-training-episode: mean/median 23.3/90.9, min/max -89.2/107.3
Update 199/488, T 409600, FPS 179, 50-training-episode: mean/median 21.4/23.1, min/max -89.2/108.2
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed21972cc.pt
Update 200/488, T 411648, FPS 179, 50-training-episode: mean/median 13.8/-41.6, min/max -92.0/108.2
Update 201/488, T 413696, FPS 179, 50-training-episode: mean/median 29.9/92.2, min/max -92.2/108.0
Update 202/488, T 415744, FPS 179, 50-training-episode: mean/median 37.8/94.4, min/max -92.2/108.0
Update 203/488, T 417792, FPS 179, 50-training-episode: mean/median 35.9/95.1, min/max -92.2/108.3
