Update 91/488, T 188416, FPS 180, 50-training-episode: mean/median 18.0/86.2, min/max -92.8/109.7
Update 92/488, T 190464, FPS 181, 50-training-episode: mean/median 12.9/81.4, min/max -92.8/109.7
Update 93/488, T 192512, FPS 180, 50-training-episode: mean/median 30.1/89.5, min/max -91.0/109.9
Update 94/488, T 194560, FPS 180, 50-training-episode: mean/median 26.8/90.4, min/max -91.0/109.9
Update 95/488, T 196608, FPS 180, 50-training-episode: mean/median 31.9/92.0, min/max -87.7/109.9
Update 96/488, T 198656, FPS 180, 50-training-episode: mean/median 21.9/91.7, min/max -84.9/104.9
Update 97/488, T 200704, FPS 180, 50-training-episode: mean/median 38.2/92.5, min/max -84.9/104.8
Update 98/488, T 202752, FPS 180, 50-training-episode: mean/median 51.1/90.7, min/max -83.7/105.7
Update 99/488, T 204800, FPS 180, 50-training-episode: mean/median 47.2/87.8, min/max -91.2/105.7
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed2351c1.pt
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed2351c1.pt.best
Update 100/488, T 206848, FPS 180, 50-training-episode: mean/median 33.3/85.4, min/max -91.2/105.7
Update 101/488, T 208896, FPS 180, 50-training-episode: mean/median 33.0/84.9, min/max -91.2/107.2
Update 102/488, T 210944, FPS 180, 50-training-episode: mean/median 42.9/86.0, min/max -87.1/107.2
Update 103/488, T 212992, FPS 180, 50-training-episode: mean/median 39.3/84.9, min/max -87.1/107.2
Update 104/488, T 215040, FPS 180, 50-training-episode: mean/median 39.5/84.9, min/max -91.0/107.3
Update 105/488, T 217088, FPS 180, 50-training-episode: mean/median 26.1/82.8, min/max -91.0/107.3
Update 106/488, T 219136, FPS 179, 50-training-episode: mean/median 27.4/84.8, min/max -91.0/107.3
Update 107/488, T 221184, FPS 179, 50-training-episode: mean/median 20.4/79.3, min/max -86.3/107.2
Update 108/488, T 223232, FPS 180, 50-training-episode: mean/median 24.6/85.2, min/max -86.3/107.2
Update 109/488, T 225280, FPS 180, 50-training-episode: mean/median 3.1/-66.4, min/max -86.3/106.6
Update 110/488, T 227328, FPS 179, 50-training-episode: mean/median 3.7/-65.2, min/max -90.6/106.7
Update 111/488, T 229376, FPS 179, 50-training-episode: mean/median 24.0/80.8, min/max -90.6/106.8
Update 112/488, T 231424, FPS 179, 50-training-episode: mean/median 44.3/82.0, min/max -83.6/106.8
Update 113/488, T 233472, FPS 179, 50-training-episode: mean/median 51.8/89.5, min/max -83.6/108.6
Update 114/488, T 235520, FPS 179, 50-training-episode: mean/median 42.6/84.7, min/max -83.5/108.6
Update 115/488, T 237568, FPS 179, 50-training-episode: mean/median 32.4/87.2, min/max -84.1/108.6
Update 116/488, T 239616, FPS 179, 50-training-episode: mean/median 34.9/88.7, min/max -84.1/108.0
Update 117/488, T 241664, FPS 179, 50-training-episode: mean/median 36.3/89.3, min/max -86.7/108.0
Update 118/488, T 243712, FPS 179, 50-training-episode: mean/median 42.4/90.1, min/max -94.6/108.1
Update 119/488, T 245760, FPS 179, 50-training-episode: mean/median 33.4/86.2, min/max -94.6/108.1
Update 120/488, T 247808, FPS 179, 50-training-episode: mean/median 32.0/88.9, min/max -94.6/108.8
Update 121/488, T 249856, FPS 180, 50-training-episode: mean/median 18.3/80.7, min/max -91.9/108.8
Update 122/488, T 251904, FPS 180, 50-training-episode: mean/median 28.6/85.9, min/max -91.9/108.8
Update 123/488, T 253952, FPS 180, 50-training-episode: mean/median 21.3/84.3, min/max -91.9/107.2
Update 124/488, T 256000, FPS 180, 50-training-episode: mean/median 24.0/84.3, min/max -97.8/106.2
Update 125/488, T 258048, FPS 180, 50-training-episode: mean/median 13.5/79.4, min/max -97.8/110.6
Update 126/488, T 260096, FPS 179, 50-training-episode: mean/median 20.3/85.4, min/max -97.8/110.6
Update 127/488, T 262144, FPS 179, 50-training-episode: mean/median 29.4/83.7, min/max -94.5/110.6
Update 128/488, T 264192, FPS 179, 50-training-episode: mean/median 36.1/87.2, min/max -86.7/109.5
Update 129/488, T 266240, FPS 179, 50-training-episode: mean/median 25.5/79.7, min/max -86.7/109.1
Update 130/488, T 268288, FPS 179, 50-training-episode: mean/median 24.1/79.6, min/max -87.4/109.1
