idx,done,ep_length,n_track,n_recover,n_search,off_plume_fraction,turn_score,speed_score,num_exits,max_exit_duration,max_stray_distance,max_odor_lastenc,avg_stray_distance,avg_odor_lastenc,median_stray_distance,median_odor_lastenc,agent_angle_ground_median,radius_final,radius_covered,end_x,end_y,start_x,start_y,reward
82,HOME,108,84,24,0,0.5185185185185185,0.20729326,0.9708783,18,23,0.2560378037991533,23,0.08846987261812486,3.111111111111111,0.08045041358096808,1.0,0.9215482231229547,0.15034487426308416,5.85051051559147,0.14714871909276697,-0.030835623660638682,6.0,-0.101318359375,101.2676522082907
83,HOME,108,94,14,0,0.5185185185185185,0.1985326,0.9696503,19,13,0.18876557947782976,13,0.07640868041181893,1.6759259259259258,0.07260248824619887,1.0,0.2824474461376667,0.17590594235504697,5.827360104270433,0.15857493981644302,-0.07613730372181944,6.0,0.197998046875,100.83333333333333
84,OOT,299,0,25,274,1.0,0.3403749,0.54257673,1,299,1.5179365997750889,298,0.9496586926962275,149.0,0.99260094995062,149.0,0.6954016163945197,2.893284055696529,3.1471796080830416,2.373137875458824,1.6550858742103192,6.0,0.697998046875,-0.2584047183038638
85,HOME,233,67,38,128,0.9012875536480687,0.28950506,0.66714096,14,150,1.0481530906766339,150,0.30490587699511323,50.4206008583691,0.2623195558924131,34.0,0.7886315993964672,0.18811579601018155,5.879102922731743,0.17078595600903537,-0.07886513766312761,6.0,-0.900634765625,100.83333333333333
86,HOME,112,73,25,14,0.7142857142857143,0.19996974,0.9452809,16,38,0.5443613018881742,38,0.15467888031658722,7.455357142857143,0.11070492065305715,2.0,0.9387771338224411,0.19397913773908815,5.819381670945802,0.1806801814478326,-0.07058737783753138,6.0,-0.400634765625,100.83333333333333
87,HOME,112,89,23,0,0.4732142857142857,0.2133379,0.94319314,14,22,0.20960997622967392,22,0.08305120181625524,2.8214285714285716,0.07916272075544156,0.0,0.32768027298152436,0.14698704725349857,5.853868342601055,0.1310096145254482,-0.06664587730832038,6.0,-0.101318359375,100.83333333333333
88,HOME,111,96,15,0,0.5405405405405406,0.21234043,0.9455695,22,14,0.2005223577886334,14,0.08677973744346568,1.837837837837838,0.08369025577813974,1.0,0.4009302146732807,0.18837390817190686,5.814892138453573,0.15726655427970734,-0.10369165918696578,6.0,0.197998046875,100.83333333333333
89,OOT,299,0,25,274,1.0,0.34386563,0.53397495,1,299,1.435230066029229,298,0.905759965436529,149.0,0.9370346726763727,149.0,0.6969424374401566,2.949733330106145,3.090730333673426,2.504607078130649,1.5581624122397957,6.0,0.697998046875,-0.2149004358530713
90,HOME,275,65,38,172,0.9163636363636364,0.30984586,0.62940276,17,196,0.9943783878104605,196,0.30456108996238496,71.52363636363637,0.2513572596239516,59.0,0.7316891178488731,0.18336138654066994,5.883857332201254,0.1676845779288005,-0.0741840980194341,6.0,-0.900634765625,100.83333333333333
91,HOME,117,75,25,17,0.7008547008547008,0.20614143,0.92116606,20,41,0.5533835401315896,41,0.1615607035768672,7.9914529914529915,0.11163240080298543,2.0,0.9299772195518017,0.15014240964614248,5.863218399038748,0.14634699824136588,-0.03354548077001895,6.0,-0.400634765625,101.29607826880259
92,HOME,126,99,25,2,0.5238095238095238,0.21162046,0.8709838,21,26,0.22073509035973285,26,0.08984365775069876,3.4126984126984126,0.08657807963091527,1.0,0.7828142270445824,0.18885839778508112,5.8119969920694725,0.1860022197308052,-0.03272107377763147,6.0,-0.101318359375,101.28500141246076
93,HOME,119,103,16,0,0.5378151260504201,0.20786305,0.9118536,17,15,0.22703023139283957,15,0.08963527781892108,2.2605042016806722,0.08200543728979377,1.0,0.6363569721579552,0.16378477418490453,5.839481272440575,0.16248225156924725,-0.020614804869025883,6.0,0.197998046875,101.29285838454453
94,OOT,299,0,25,274,1.0,0.33977884,0.52603984,1,299,1.365251118281675,298,0.8645791913052017,149.0,0.9005659934402257,149.0,0.6632368713617324,2.987091166240939,3.0533724975386316,2.658916161370762,1.3612047907041855,6.0,0.697998046875,-0.19999999999999998
95,OOT,299,70,34,195,0.8327759197324415,0.27672094,0.49083436,5,219,1.0340735984369145,219,0.31169603477626867,81.34113712374582,0.2684430168869955,70.0,0.7972437888383865,2.8653856966915368,3.2018330220503874,2.8594758147701294,-0.1839381840433026,6.0,-0.900634765625,0.26565453806963146
96,HOME,121,76,25,20,0.7107438016528925,0.19383101,0.9050824,19,44,0.5294119161538274,44,0.15770356676284913,8.892561983471074,0.10558497140867268,2.0,0.9115878492593765,0.15357663803615332,5.859784170648737,0.13602263187953287,-0.07129956077741814,6.0,-0.400634765625,100.83333333333333
97,HOME,129,100,25,4,0.5426356589147286,0.1970095,0.8546383,22,28,0.31866324032312215,28,0.08902055373205477,3.875968992248062,0.080207573946118,1.0,0.865038488060236,0.18753033614595352,5.8133250537086,0.1461443837458606,-0.11751359953025417,6.0,-0.101318359375,100.83333333333333
98,HOME,124,104,20,0,0.532258064516129,0.19810335,0.8889293,17,16,0.1994043429482311,16,0.08244828853433919,2.620967741935484,0.07863670224253363,1.0,0.7156983464956284,0.15455745699195256,5.848708589633527,0.15409470494195243,0.011951126334864337,6.0,0.197998046875,101.28391351396539
99,OOT,299,0,25,274,1.0,0.33471227,0.5287833,1,299,1.3944337292347924,298,0.865467896234028,149.0,0.922070875115175,149.0,0.67714424431324,2.9423638760001865,3.0980997877793843,2.4961517114139102,1.557797102448277,6.0,0.697998046875,-0.2874923438597474
100,HOME,286,74,33,179,0.8916083916083916,0.30567342,0.61489534,14,203,1.0113436929081627,203,0.30682459147155733,73.33566433566433,0.2597958802885807,60.5,0.7668849751353257,0.15448370288189633,5.912735015860028,0.15433410146034723,-0.006797027477454481,6.0,-0.900634765625,101.29352238379002
101,HOME,124,71,25,28,0.7661290322580645,0.20055898,0.89155143,16,52,0.5012176071749471,52,0.15718676603380172,12.225806451612904,0.12432458509440797,4.0,0.9140734169632195,0.1440708413174534,5.869289967367437,0.1438249806362439,0.008413219532551423,6.0,-0.400634765625,101.28840362842823
102,HOME,138,113,25,0,0.463768115942029,0.21302682,0.83594435,20,24,0.2683390054218737,24,0.09491417567533772,2.753623188405797,0.08929529953452853,0.0,0.8173074852675198,0.15276266760243087,5.848092722252122,0.030491213546981002,-0.14968873875293087,6.0,-0.101318359375,100.83333333333333
103,HOME,127,106,21,0,0.5905511811023622,0.20838948,0.87654114,21,17,0.19745247803237123,17,0.08245563441059885,2.795275590551181,0.0788935636513277,1.0,0.7102669253945351,0.14989557710735335,5.853370469518126,0.13302647495559086,-0.06908430355179151,6.0,0.197998046875,101.25796526392722
104,OOT,299,0,25,274,1.0,0.33721873,0.5249161,1,299,1.4118786919076367,298,0.8697608426807544,149.0,0.9218493440577485,149.0,0.6913000456988809,3.0129534503693365,3.0275102134102343,2.578006356848009,1.559413902125971,6.0,0.697998046875,-0.28772156385996817
105,HOME,176,145,31,0,0.4375,0.16725725,0.70919245,19,24,0.7062311018044191,24,0.12107197751859067,2.9375,0.08008248360180456,0.0,0.8700981363654137,0.15021094744743635,5.917007771294488,0.14331692570547602,-0.04498430325555288,6.0,-0.900634765625,100.83333333333333
106,HOME,102,77,25,0,0.6666666666666666,0.19185199,0.988882,17,24,0.22158424951541214,24,0.10023968658140076,4.137254901960785,0.09305756650127099,1.0,0.9535468816757203,0.1429907437229068,5.870370064961984,0.13948601336836744,-0.03146434275540532,6.0,-0.400634765625,100.83333333333333
107,HOME,103,91,12,0,0.3592233009708738,0.21031371,0.9895202,16,5,0.16527473974335782,5,0.0742992227710763,0.7184466019417476,0.06667552381435754,0.0,0.12664545699954033,0.1441411510334238,5.85671423882113,0.11861521782667304,-0.08189689567481293,6.0,-0.101318359375,100.83333333333333
108,HOME,103,91,12,0,0.4174757281553398,0.19997723,0.9878292,17,5,0.17607987781144155,5,0.08124389128041232,0.8543689320388349,0.08033353179903424,0.0,0.04933004826307308,0.165956537093393,5.837309509532086,0.15356619779818345,-0.06292054591180789,6.0,0.197998046875,100.83333333333333
109,OOT,299,0,25,274,1.0,0.35650256,0.5136802,1,299,1.7668327921287756,298,1.2946257431477521,149.0,1.303292192298905,149.0,0.6893877722322941,3.5190334759710127,2.521430187808558,3.0539817075813867,1.7483684779710782,6.0,0.697998046875,-0.19999999999999998
110,HOME,169,59,25,85,0.8402366863905325,0.2562061,0.7639295,11,109,0.8663435161842963,109,0.20994266147457694,36.01183431952663,0.132308492557316,25.0,0.8713908828794956,0.19431189506276994,5.872906823679155,0.17769033502404133,-0.07863369126480625,6.0,-0.900634765625,100.83333333333333
111,HOME,104,78,25,1,0.6442307692307693,0.19179073,0.9871241,16,25,0.3517261099535332,25,0.11817060697778609,4.028846153846154,0.10063146569616935,1.0,0.945527171716094,0.14756980478767967,5.86579100389721,0.13591177159655665,-0.05748771717992724,6.0,-0.400634765625,100.83333333333333
112,HOME,104,82,22,0,0.5,0.20529792,0.98985684,16,21,0.2077400395359588,21,0.0902782808823236,2.855769230769231,0.08656555295928234,0.5,0.8978633377701044,0.1705844945479052,5.830270895306648,0.1667276328064631,-0.0360689095886957,6.0,-0.101318359375,101.28479954162421
113,HOME,104,92,12,0,0.4230769230769231,0.18946251,0.98804504,15,8,0.20356574675858685,8,0.08434611175938975,1.0673076923076923,0.08057761769476446,0.0,0.08272450231015693,0.1734623508347316,5.829803695790748,0.14345303672075302,-0.0975213484971665,6.0,0.197998046875,100.83333333333333
